Location name,Amount spent (RON)
Alba County,237
Arad County,483
Argeș County,390
Bacău County,315
Bihor County,757
Bistrița-Năsăud County,170
Botoșani County,230
Brașov County,387
Brăila County,253
Bucharest,2374
Buzău County,257
Caraș-Severin County,171
Cluj County,702
Constanța County,499
Covasna County,178
Călărași County,129
Dolj County,409
Dâmbovița County,261
Galați County,464
Giurgiu County,131
Gorj County,221
Harghita County,342
Hunedoara County,276
Ialomița County,121
Iași County,591
Ilfov County,286
Maramureș County,350
Mehedinți County,171
Mureș County,538
Neamț County,329
Olt County,191
Prahova County,498
Satu Mare County,280
Sibiu County,330
Suceava County,353
Sălaj County,147
Teleorman County,174
Timiș County,541
Tulcea County,281
Unknown,≤100
Vaslui County,178
Vrancea County,180
Vâlcea County,211
