Location name,Amount spent (GTQ)
Alta Verapaz Department,175
Baja Verapaz Department,≤100
Chimaltenango Department,124
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,246
Guatemala Department,4810
Huehuetenango Department,204
Izabal Department,164
Jalapa Department,≤100
Jutiapa Department,120
Petén Department,109
Quetzaltenango Department,279
Quiché Department,127
Retalhuleu Department,≤100
Sacatepéquez Department,145
San Marcos Department,523
Santa Rosa Department,102
Sololá Department,≤100
Suchitepéquez Department,138
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
