Location name,Amount spent (AUD)
Australian Capital Territory,821
Jervis Bay Territory,≤100
New South Wales,14240
Northern Territory,249
Queensland,5951
South Australia,2165
Tasmania,957
Unknown,≤100
Victoria,8631
Western Australia,3005
