Location name,Amount spent (HUF)
Baranya County,82347
Borsod-Abaúj-Zemplén County,120213
Budapest,450598
Bács-Kiskun County,108124
Békés County,69807
Csongrád County,95761
Fejér County,81486
Győr-Moson-Sopron County,91780
Hajdú-Bihar County,145849
Heves County,59683
Jász-Nagykun-Szolnok County,73254
Komárom-Esztergom County,60855
Nógrád County,36440
Pest County,221352
Somogy County,60753
Szabolcs-Szatmár-Bereg County,100919
Tolna County,47489
Unknown,≤100
Vas County,53004
Veszprém County,72254
Zala County,53183
