Location name,Amount spent (AUD)
Australian Capital Territory,2439
Jervis Bay Territory,≤100
New South Wales,21359
Northern Territory,650
Queensland,15679
South Australia,6354
Tasmania,2480
Unknown,≤100
Victoria,22050
Western Australia,8627
