Location name,Amount spent (GTQ)
Alta Verapaz Department,314
Baja Verapaz Department,115
Chimaltenango Department,256
Chiquimula Department,206
El Progreso Department,≤100
Escuintla Department,376
Guatemala Department,14190
Huehuetenango Department,483
Izabal Department,334
Jalapa Department,133
Jutiapa Department,232
Petén Department,224
Quetzaltenango Department,626
Quiché Department,320
Retalhuleu Department,179
Sacatepéquez Department,200
San Marcos Department,1201
Santa Rosa Department,151
Sololá Department,198
Suchitepéquez Department,255
Totonicapán Department,177
Unknown,≤100
Zacapa Department,144
