Location name,Amount spent (PYG)
Alto Paraguay Department,67653
Alto Paraná Department,7733681
Amambay Department,996943
Asunción,7412943
Boquerón department,427002
Caaguazú Department,2556457
Caazapá Department,585830
Canindeyú Department,701217
Central Department,16315925
Concepción Department (Paraguay),957646
Cordillera Department,1670273
Guairá Department,916381
Itapúa Department,3851402
Misiones Department,1050111
Paraguarí Department,865123
Presidente Hayes Department,511028
San Pedro Department,1046566
Unknown,1047
Ñeembucú Department,555064
