Location name,Amount spent (ZAR)
Eastern Cape,1167
Free State,857
Gauteng,4206
KwaZulu-Natal,1796
Limpopo,978
Mpumalanga,757
North West,607
Northern Cape,335
Unknown,≤100
Western Cape,4197
