Location name,Amount spent (EUR)
Alsace,647
Aquitaine,1157
Auvergne,361
Basse-Normandie,405
Bourgogne,481
Bretagne,967
Centre,808
Champagne-Ardenne,378
Corse,148
Franche-Comté,311
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,673
Languedoc-Roussillon,1119
Limousin,213
Lorraine,608
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1089
New Caledonia,≤100
Nord-Pas-de-Calais,1166
Pays de la Loire,985
Picardie,525
Poitou-Charentes,581
Provence-Alpes-Côte d'Azur,2178
Reunion Island,≤100
Rhône-Alpes,2140
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3863
