Location name,Amount spent (AUD)
Australian Capital Territory,1211
Jervis Bay Territory,≤100
New South Wales,14423
Northern Territory,371
Queensland,8577
South Australia,2525
Tasmania,907
Unknown,≤100
Victoria,9832
Western Australia,4328
