Location name,Amount spent (GTQ)
Alta Verapaz Department,151
Baja Verapaz Department,≤100
Chimaltenango Department,122
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,196
Guatemala Department,17438
Huehuetenango Department,244
Izabal Department,172
Jalapa Department,≤100
Jutiapa Department,101
Petén Department,116
Quetzaltenango Department,268
Quiché Department,164
Retalhuleu Department,≤100
Sacatepéquez Department,104
San Marcos Department,552
Santa Rosa Department,≤100
Sololá Department,101
Suchitepéquez Department,157
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
