Location name,Amount spent (EUR)
Berovo Municipality,≤100
Bogdanci Municipality,≤100
Bogovinje Municipality,≤100
Bosilovo Municipality,≤100
Brvenica Municipality,≤100
Debar Municipality,≤100
Debarca Municipality,≤100
Demir Hisar Municipality,≤100
Demir Kapija Municipality,≤100
Dojran Municipality,≤100
Dolneni Municipality,≤100
Gevgelija Municipality,≤100
Gostivar Municipality,≤100
Gradsko Municipality,≤100
Ilinden Municipality,≤100
Jegunovce Municipality,≤100
Karbinci Municipality,≤100
Kavadarci Municipality,≤100
Kičevo Municipality,≤100
Konče Municipality,≤100
Kratovo Municipality,≤100
Kriva Palanka Municipality,≤100
Kumanovo Municipality,≤100
Lipkovo Municipality,≤100
Lozovo Municipality,≤100
Makedonska Kamenica Municipality,≤100
Makedonski Brod Municipality,≤100
Mogila Municipality,≤100
Municipality of Aračinovo,≤100
Municipality of Centar (Skopje),200
Municipality of Delčevo,≤100
Municipality of Kočani,≤100
Municipality of Krivogaštani,≤100
Municipality of Mavrovo and Rostuša,≤100
Municipality of Pehčevo,≤100
Municipality of Probištip,≤100
Municipality of Sopište,≤100
Municipality of Staro Nagoričane,≤100
Municipality of Studeničani,≤100
Municipality of Vrapčište,≤100
Municipality of Češinovo-Obleševo,≤100
Municipality of Čučer-Sandevo,≤100
Municipality of Štip,≤100
Municipality of Želino,≤100
Negotino Municipality,≤100
Novaci Municipality,≤100
Novo Selo Municipality,≤100
Ohrid Municipality,≤100
Petrovec Municipality,≤100
Plasnica Municipality,≤100
Prilep Municipality,≤100
Radoviš Municipality,≤100
Rankovce Municipality,≤100
Resen (municipality),≤100
Rosoman Municipality,≤100
Saraj Municipality,≤100
Struga Municipality,≤100
Strumica Municipality,≤100
Sveti Nikole Municipality,≤100
Tearce Municipality,≤100
Tetovo Municipality,≤100
Valandovo Municipality,≤100
Vasilevo Municipality,≤100
Veles Municipality,≤100
Vevčani Municipality,≤100
Vinica Municipality,≤100
Zelenikovo Municipality,≤100
Zrnovci Municipality,≤100
Čaška Municipality,≤100
