Location name,Amount spent (JPY)
Aichi Prefecture,18128
Akita Prefecture,1138
Aomori Prefecture,1633
Chiba Prefecture,9283
Ehime Prefecture,2143
Fukui Prefecture,1914
Fukuoka Prefecture,33005
Fukushima Prefecture,2531
Gifu Prefecture,4559
Gunma Prefecture,3361
Hiroshima Prefecture,6636
Hokkaido,11275
Hyōgo Prefecture,9885
Ibaraki Prefecture,4785
Ishikawa Prefecture,2946
Iwate Prefecture,1867
Kagawa Prefecture,1937
Kagoshima Prefecture,5737
Kanagawa Prefecture,22223
Kumamoto Prefecture,5499
Kyoto Prefecture,6354
Kōchi Prefecture,975
Mie Prefecture,4915
Miyagi Prefecture,8365
Miyazaki Prefecture,2326
Nagano Prefecture,4390
Nagasaki Prefecture,2679
Nara Prefecture,3275
Niigata Prefecture,3007
Okayama Prefecture,2832
Okinawa Prefecture,3944
Osaka Prefecture,18352
Saga Prefecture,2725
Saitama Prefecture,14960
Shiga Prefecture,2828
Shimane Prefecture,1121
Shizuoka Prefecture,7736
Tochigi Prefecture,2240
Tokushima Prefecture,1289
Tokyo,136979
Tottori Prefecture,1091
Toyama Prefecture,1932
Unknown,≤100
Wakayama Prefecture,1744
Yamagata Prefecture,1557
Yamaguchi Prefecture,1768
Yamanashi Prefecture,1917
Ōita Prefecture,2348
