Location name,Amount spent (PYG)
Alto Paraguay Department,9310
Alto Paraná Department,1465533
Amambay Department,139959
Asunción,1251877
Boquerón department,56436
Caaguazú Department,677043
Caazapá Department,113428
Canindeyú Department,129775
Central Department,3916698
Concepción Department (Paraguay),145918
Cordillera Department,279499
Guairá Department,139022
Itapúa Department,557211
Misiones Department,137058
Paraguarí Department,138143
Presidente Hayes Department,116040
San Pedro Department,210309
Unknown,366
Ñeembucú Department,165049
