Location name,Amount spent (VND)
An Giang Province,58129
Bà Rịa–Vũng Tàu Province,80830
Bình Dương Province,116293
Bình Phước Province,82528
Bình Thuận Province,151181
Bình Định Province,205957
Bạc Liêu Province,38261
Bắc Giang Province,224622
Bắc Kạn Province,46690
Bắc Ninh Province,130036
Bến Tre Province,47496
Cao Bằng Province,42281
Cà Mau Province,53796
Cần Thơ,63318
Da Nang,242805
Gia Lai Province,108754
Haiphong,179212
Ho Chi Minh City,1010668
Hà Giang Province,55760
Hà Nam Province,83454
Hà Tĩnh Province,149090
Hòa Bình Province,85142
Hưng Yên Province,102168
Hải Dương Province,272078
Hậu Giang Province,18053
Khánh Hòa Province,69374
Kiên Giang Province,58627
Kon Tum Province,37990
Lai Châu Province,15956
Long An Province,56738
Lào Cai Province,43886
Lâm Đồng Province,92632
Lạng Sơn Province,78980
Nam Định Province,141948
Nghệ An Province,318651
Ninh Bình Province,90560
Ninh Thuận Province,36006
Phú Thọ Province,344809
Phú Yên Province,64538
Quảng Bình Province,82914
Quảng Nam Province,253632
Quảng Ngãi Province,141381
Quảng Ninh Province,91434
Quảng Trị Province,68533
Sóc Trăng Province,38985
Sơn La Province,84989
Thanh Hóa Province,1125090
Thái Bình Province,154029
Thái Nguyên Province,135122
Thừa Thiên–Huế Province,264533
Tiền Giang Province,42671
Trà Vinh Province,45858
Tuyên Quang Province,339655
Tây Ninh Province,318717
Unknown,≤100
Vĩnh Long Province,28463
Vĩnh Phúc Province,108336
Yên Bái Province,87249
Điện Biên Province,37639
Đắk Lắk Province,172684
Đắk Nông Province,67903
Đồng Nai Province,202162
Đồng Tháp Province,45247
