Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
280326368663728,Asociación de Industriales de Iquique,Asociacion de Industriales Iquique,257490,24
104189318481439,Minería y Futuro,Mineria y Futuro,236008,27
580663538777736,Consejo Minero,Feedback Comunicaciones,136394,4
8093963076,Techo - Chile,Pago por TECHO Chile con créditos de anuncios de Facebook,96401,6
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,83400,2
112089607203762,Consejo del Salmón,Consejo del Salmón,73364,11
106423590853145,Fundación Ciudadanos en Acción,Fundacion Ciudadanos en accion,59252,4
105560941738247,Movilizando Chilenos,Movilizando Chilenos,52271,8
1101427233255754,Christopher White,Christopher White Bahamondes,48352,12
198921630648476,Vidrios Lirquen,Vidrios Lirquen,43075,1
756450494522524,Andrés Jouannet Diputado,Andrés Alfonso Jouannet Valderrama,39706,7
104224427947088,Circula el Plástico,Metrix,37654,2
78239901502,Diario Financiero,Grupo DF,34271,3
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,30000,1
143360859486032,Alejandro Bernales Maldonado,Alejandro Bernales Maldonado,26761,1
558224964238853,Anglo American,Anglo American,26631,1
184559421980613,Vlado Mirosevic Diputado,Vlado Mirosevic Verdugo,23443,2
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,20408,8
1445910269057442,Desarrolla Biobío,Roberto Rolando Moreno Arenas,19683,1
103030962615298,Chile YAAC,Chile YAAC,19121,6
429657563782175,Vlado Mirosevic Verdugo,Vlado Mirosevic Verdugo,17371,2
266574477169217,Ciudadano Videla Diputado,Elias Vaca Sanchez,16168,1
26929188652,El Observatodo,MiVoz.cl,16117,34
350025708997760,Minera Vizcachitas,Minera Vizcachitas,14140,4
600661340080888,Municipalidad de Salamanca,Municipalidad de Salamanca,12855,9
1503096909935398,ATI Antofagasta Terminal Internacional,Brecha Digital Consultores Ltda.,11651,2
106088671518497,Agustín Iglesias Concejal Independencia,Agustin Ignacio Iglesias Munoz,10446,3
1436530563295625,El Líbero,Sociedad Periodística El Líbero S.A,10143,1
184169995325116,Gerardo Rojas Escudero,Gerardo Rojas Escudero,10017,7
1575217122560418,Juan Ramón Godoy,Juan Ramón Godoy,9471,27
116346351346835,Valeria Cárcamo Vidal,Valeria Angélica Cárcamo Vidal,7139,2
105896849068225,Great job,These ads ran without a disclaimer,6386,8
761606963919174,Somos Aclara,Somos Aclara,6247,5
109626371709961,Salmones Austral,Salmones Austral,5998,14
112555455065264,Autos en Peligro,Vehículos en Peligro,5785,15
239724839481005,Municipalidad de Vicuña,Brecha Digital Consultores,5778,9
105216102185508,Cvr_abogados,Cvr_abogados,5186,1
113540781539326,Workmed,Workmed,5058,5
214215822426016,Punto Prensa,Punto Prensa SPA,4973,1
248421278648620,Mario Vilches Alcaíno,Mario Vilches Alcaíno,4638,1
221901754840837,Acciona.Chile,ACCIONA Chile,4560,1
181208945236608,Patria Progresista,Patria Progresista,4344,7
104684192398328,Francisco Corral Macías,Gerard Henri Joffre Pavez,4332,3
478976528820583,I. Municipalidad de La Granja,Brecha Digital Consultores Ltda.,4291,6
108523631002340,Loreta Villegas- Consejera Regional Aysen,Maria Loreta Villegas Almonacid,4210,4
145925692108470,Educación Continua UC Temuco,UNIVERSIDAD CATÓLICA DE TEMUCO,3941,2
1843354599272180,Américo Guajardo Oyarce - Alcalde de Río Claro,Américo Gustavo Guajardo Oyarce,3784,2
204430603582,La Tercera,These ads ran without a disclaimer,3658,1
358940384476087,Patricio Pinilla Valencia,Patricio Alfonso Pinilla Valencia,3309,1
226593947367922,Cultiva,Cultiva,3038,1
1643674159197342,Corporación Municipal de Rancagua,Cormun,2965,11
212672485793114,Frank Sauerbaum,Frank Carlos Sauerbaum Muñoz,2934,1
101443865184651,Marianella Benavides Concejala Los Andes,Lidia Marianella Benavides Cardenas,2915,1
107151670642286,Al Aguaite Sin Censura,Maxi Agustin Soto Yañez,2775,1
1539380629490140,Pirque Educación y Salud,Corporación de Salud y Educación Pirque,2521,10
104211995857976,vegan_metal,These ads ran without a disclaimer,2482,1
115046015881560,Alcalde Marcos Morales Ureta,Marcos Antonio Morales Ureta,2467,1
110405624650830,Chile En La Encrucijada,Juan Antonio Montes Varas,2249,1
108557574347706,Fundación Conecta Mayor,Fundación Conecta Mayor,2120,1
980724628611383,GayDatos Guía Turismo Lgtb De Latinoamérica,These ads ran without a disclaimer,1817,1
103087261729997,Camila Avilés Barraza,Camila Avilés Barraza,1813,3
