Location name,Amount spent (CZK)
Central Bohemian Region,12272
Hradec Králové Region,5634
Karlovy Vary Region,3200
Liberec Region,4537
Moravian-Silesian Region,16944
Olomouc Region,6354
Pardubice Region,5342
Plzeň Region,6590
Prague,25284
South Bohemian Region,7513
South Moravian Region,14172
Unknown,≤100
Vysočina Region,4929
Zlín Region,5227
Ústí nad Labem Region,8782
