Location name,Amount spent (BRL)
Acre (state),778
Alagoas,3427
Amapá,1138
Amazonas,4176
Bahia,13658
Ceará,9846
Espírito Santo,3497
Federal District,3978
Goiás,9353
Maranhão,5496
Mato Grosso,6929
Mato Grosso do Sul,6043
Minas Gerais,23129
Paraná,11174
Paraíba,4521
Pará,7770
Pernambuco,9823
Piauí,2925
Rio Grande do Norte,3490
Rio Grande do Sul,12652
Rio de Janeiro (state),18934
Rondônia,2644
Roraima,1134
Santa Catarina,14678
Sergipe,5135
São Paulo (state),56081
Tocantins,2277
Unknown,≤100
