Location name,Amount spent (PLN)
Greater Poland Voivodeship,5362
Kuyavian-Pomeranian Voivodeship,2982
Lesser Poland Voivodeship,5036
Lower Silesian Voivodeship,3673
Lublin Voivodeship,2144
Lubusz Voivodeship,1232
Masovian Voivodeship,9326
Opole Voivodeship,976
Podkarpackie Voivodeship,1999
Podlaskie Voivodeship,1135
Pomeranian Voivodeship,3109
Silesian Voivodeship,4609
Unknown,≤100
Warmian-Masurian Voivodeship,1342
West Pomeranian Voivodeship,2077
Łódź Voivodeship,3478
Świętokrzyskie Voivodeship,1150
