Location name,Amount spent (HUF)
Baranya County,71994
Borsod-Abaúj-Zemplén County,116592
Budapest,491821
Bács-Kiskun County,93448
Békés County,70369
Csongrád County,104134
Fejér County,81149
Győr-Moson-Sopron County,82348
Hajdú-Bihar County,91828
Heves County,51439
Jász-Nagykun-Szolnok County,69865
Komárom-Esztergom County,53538
Nógrád County,28925
Pest County,202216
Somogy County,52973
Szabolcs-Szatmár-Bereg County,94692
Tolna County,40992
Unknown,103
Vas County,57588
Veszprém County,59521
Zala County,58098
