Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,447
Bicol Region,3206
Cagayan Valley,1805
Calabarzon,11027
Caraga,1261
Central Luzon,6166
Central Visayas,4969
Cordillera Administrative Region,906
Davao Region,2010
Eastern Visayas,2697
Ilocos Region,3004
Metro Manila,16742
Mimaropa,2367
Northern Mindanao,3493
Soccsksargen,1905
Unknown,≤100
Western Visayas,4903
Zamboanga Peninsula,1899
