Location name,Amount spent (SEK)
Blekinge County,3594
Dalarna County,7157
Gotland County,1898
Gävleborg County,7149
Halland County,7419
Jämtland County,3397
Jönköping County,8472
Kalmar County,5826
Kronoberg County,4229
Norrbotten County,5995
Skåne County,30267
Stockholm County,58177
Södermanland County,7292
Unknown,≤100
Uppsala County,9427
Värmland County,6481
Västerbotten County,6596
Västernorrland County,5878
Västmanland County,6292
Västra Götaland County,42650
Örebro County,7477
Östergötland County,10363
