Location name,Amount spent (TWD)
Changhua,9153
Chiayi,2549
Hsinchu,3961
Hsinchu City,6410
Hualien,3909
Kaohsiung,33327
Keelung City,3548
Kinmen,605
Lienchiang,≤100
Miaoli,4207
Nantou,4740
New Taipei City,51409
Penghu,753
Pingtung,6756
Taichung,38123
Tainan,20243
Taipei,42560
Taitung,2717
Taoyuan City,32283
Unknown,6021
Yilan,3142
Yunlin,5095
