Location name,Amount spent (PKR)
Azad Kashmir,619
Balochistan,1440
Federally Administered Tribal Areas,279
Gilgit-Baltistan,411
Islamabad Capital Territory,1239
Khyber Pakhtunkhwa,8286
Punjab,21004
Sindh,1382147
Unknown,≤100
