Location name,Amount spent (UYU)
Artigas Department,106
Canelones Department,784
Cerro Largo Department,143
Colonia Department,567
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,219
Montevideo Department,8792
Paysandú Department,5399
Rivera Department,587
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,252
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,574
