Location name,Amount spent (RON)
Alba County,1840
Arad County,828
Argeș County,906
Bacău County,1605
Bihor County,909
Bistrița-Năsăud County,454
Botoșani County,564
Brașov County,1136
Brăila County,424
Bucharest,6284
Buzău County,778
Caraș-Severin County,349
Cluj County,1929
Constanța County,1179
Covasna County,448
Călărași County,313
Dolj County,1354
Dâmbovița County,624
Galați County,1662
Giurgiu County,290
Gorj County,425
Harghita County,856
Hunedoara County,662
Ialomița County,304
Iași County,2323
Ilfov County,622
Maramureș County,882
Mehedinți County,365
Mureș County,1185
Neamț County,643
Olt County,370
Prahova County,1235
Satu Mare County,664
Sibiu County,726
Suceava County,815
Sălaj County,309
Teleorman County,388
Timiș County,1338
Tulcea County,312
Unknown,≤100
Vaslui County,448
Vrancea County,1650
Vâlcea County,628
