Location name,Amount spent (USD)
Azuay Province,2089
Bolívar Province,151
Carchi Province,122
Cañar Province,363
Chimborazo Province,456
Cotopaxi Province,319
El Oro Province,1249
Esmeraldas Province,517
Galápagos Province,≤100
Guayas Province,4967
Imbabura Province,437
Loja Province,498
Los Ríos Province,967
Manabí Province,2195
Morona-Santiago Province,191
Napo Province,107
Orellana Province,143
Pastaza Province,134
Pichincha Province,5978
Santa Elena Province,393
Santo Domingo de los Tsáchilas Province,1683
Sucumbíos Province,208
Tungurahua Province,834
Unknown,≤100
Zamora-Chinchipe Province,201
