Location name,Amount spent (EGP)
Al Sharqia Governorate,3167
Alexandria Governorate,954
Aswan Governorate,152
Asyut Governorate,325
Beheira Governorate,574
Beni Suef Governorate,216
Cairo Governorate,2333
Dakahlia Governorate,1105
Damietta Governorate,307
Faiyum Governorate,219
Gharbia Governorate,982
Giza Governorate,760
Ismailia Governorate,318
Kafr el-Sheikh Governorate,533
Luxor Governorate,128
Matrouh Governorate,≤100
Minya Governorate,487
Monufia Governorate,558
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,365
Qalyubia Governorate,1074
Qena Governorate,276
Red Sea Governorate,≤100
Sohag Governorate,393
South Sinai Governorate,≤100
Suez Governorate,112
