Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,234
Apurímac Region,≤100
Arequipa Region,234
Ayacucho Region,≤100
Cajamarca Region,124
Callao,≤100
Cusco Region,233
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,153
Junín Region,138
La Libertad Region,680
Lambayeque Region,163
Lima Region,1879
Loreto Region,329
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,212
Puno Region,164
San Martín Region,112
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
