Location name,Amount spent (GTQ)
Alta Verapaz Department,221
Baja Verapaz Department,≤100
Chimaltenango Department,173
Chiquimula Department,267
El Progreso Department,132
Escuintla Department,268
Guatemala Department,6111
Huehuetenango Department,241
Izabal Department,178
Jalapa Department,107
Jutiapa Department,152
Petén Department,109
Quetzaltenango Department,418
Quiché Department,160
Retalhuleu Department,134
Sacatepéquez Department,213
San Marcos Department,808
Santa Rosa Department,105
Sololá Department,138
Suchitepéquez Department,589
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,125
