Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,394
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,114
Erbil Governorate,447
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,139
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,148
Saladin Governorate,≤100
Sulaymaniyah Governorate,1204
Unknown,≤100
Wasit Governorate,≤100
