Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library
101433223004307,Harapan Malaysia,Harapan Malaysia,7485,42
100636399607458,Malaysia MADANI,Malaysia MADANI,2005,23
104832252039496,Muiz Mahyuddin,Muiz Mahyuddin,1808,8
105507969277765,Tawaran Madani,Tawaran Madani,1110,147
107575511165573,Pemuda Perikatan Nasional,Pemuda Perikatan Nasional,1000,1
718352778222402,KEADILAN Pulau Pinang,KEADILAN Pulau Pinang,902,26
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia - DPPM,832,14
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Ghazi,737,1
112371283921365,Hanif Jamaluddin,Hanif Jamaluddin,735,5
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,583,9
126954327375871,Dato' Dr Halim Tamuri,Dato' Dr Halim Tamuri,577,9
560429700762980,PAS SHAH ALAM,PAS SHAH ALAM,530,7
121531764716236,Dato' Dr. Ahmad Yunus Hairi,Dato' Dr. Ahmad Yunus Hairi,502,1
351151669407977,Perikatan Nasional Selangor,Perikatan Nasional Selangor,498,10
217333465690188,Nushi Mahfodz,Nushi Mahfodz,415,2
100173982517485,MyUndi,MyUndi,389,12
214066990599,Berita Harian Online,Berita Harian Online,367,1
211591442051,Harian Metro,Harian Metro,350,1
225685927482720,Pemuda PAS Selangor,DEWAN PEMUDA PAS NEGERI SELANGOR,346,7
87363369882,Sinar Harian,Sinar Harian,334,11
463155437071608,Shafie Ngah,Shafie Ngah,295,2
138361272876308,马华公会,马华公会,265,5
109649270745905,Hulu Bernam Kini,Hulu Bernam Kini,251,2
27588322041,BFM Radio - The Business Station,BFM Radio - The Business Station,248,15
104379848234065,Ustaz Ariffin Deraman,Ustaz Ariffin Deraman,238,13
1772535526329042,Friends Of Selangor,Friends Of Selangor,230,7
804067589671488,Mohamed Sukri Omar,Mohamed Sukri Omar,221,2
31373189944,Malaysiakini BM,FG Media Sdn Bhd,212,2
130114577096206,刘镇东,Liew Chin Tong,197,2
217285405008524,Wong Chen,Wong Chen,184,1
610744145791225,Perpaduan DUN Hulu Bernam,Perpaduan DUN Hulu Bernam,178,9
1431082557144284,David Cheong 张睷洋,David Cheong 张睷洋,178,5
197799207237326,Pakatan Harapan,AMANAH,164,5
427331751040450,Sabirin Marsono,Sabirin Marsono,135,2
322415954892106,Michelle Ng Mei Sze 黄美诗,Michelle Ng Mei Sze 黄美诗,132,5
312443752176073,Ustaz Najhan Salleh - UNS,Ustaz Najhan Salleh - UNS,125,2
135856610910,Liew Chin Tong,Liew Chin Tong,112,3
416587839184745,Negeri Sembilan Update ( N.S.U ),Negeri Sembilan Update ( N.S.U ),111,6
223180581163143,Jagdeep Singh Deo 'Serving the People',Jagdeep Singh Deo 'Serving the People',109,2
285441958608631,Gerakan Setia Johor,Gerakan Setia Johor,105,1
2284919521796917,QGenAnalysts,QGenAnalysts,104,2
