Location name,Amount spent (HUF)
Baranya County,174018
Borsod-Abaúj-Zemplén County,249929
Budapest,1024538
Bács-Kiskun County,215537
Békés County,137978
Csongrád County,207778
Fejér County,185359
Győr-Moson-Sopron County,207245
Hajdú-Bihar County,218693
Heves County,139233
Jász-Nagykun-Szolnok County,151110
Komárom-Esztergom County,132238
Nógrád County,70856
Pest County,508544
Somogy County,121986
Szabolcs-Szatmár-Bereg County,202769
Tolna County,93973
Unknown,≤100
Vas County,115324
Veszprém County,142471
Zala County,123932
