Location name,Amount spent (IDR)
Aceh,527896
Bali,1721308
Bangka–Belitung Islands,277489
Banten,1821213
Bengkulu,442249
Central Java,6706564
Central Kalimantan,492431
Central Sulawesi,504825
East Java,6812071
East Kalimantan,969081
East Nusa Tenggara,1438523
Gorontalo,256372
Jakarta,5211491
Jambi,542947
Lampung,1219117
Maluku,297488
North Kalimantan,164677
North Maluku,229058
North Sulawesi,1497331
North Sumatra,4095781
Papua (province),587939
Riau,1458114
Riau Islands Province,633752
South Kalimantan,521282
South Sulawesi,1315754
South Sumatra,1310392
Southeast Sulawesi,431439
Special Region of Yogyakarta,926122
Unknown,7723
West Java,7076091
West Kalimantan,979664
West Nusa Tenggara,813269
West Papua,244944
West Sulawesi,232381
West Sumatra,831111
