Location name,Amount spent (HTG)
Artibonite Department,137
Centre Department,≤100
Grand'Anse Department,≤100
Nippes Department,≤100
Nord Department,137
Nord-Est Department,≤100
Nord-Ouest Department,≤100
Ouest Department,441
Sud Department,≤100
Sud-Est Department,≤100
