Location name,Amount spent (USD)
Alabama,7966
Alaska,4896
American Samoa,≤100
Arizona,18347
Arkansas,5199
California,92716
Colorado,22898
Connecticut,7649
Delaware,2045
Florida,73780
Georgia,23744
Guam,≤100
Hawaii,3236
Idaho,6010
Illinois,40538
Indiana,17303
Iowa,6714
Kansas,8670
Kentucky,12025
Louisiana,11596
Maine,6535
Maryland,17401
Massachusetts,11788
Michigan,33839
Minnesota,17185
Mississippi,5640
Missouri,17212
Montana,3383
Nebraska,4894
Nevada,9616
New Hampshire,3700
New Jersey,21432
New Mexico,4515
New York,93638
North Carolina,23143
North Dakota,2229
Northern Mariana Islands,≤100
Ohio,28843
Oklahoma,8288
Oregon,10375
Pennsylvania,38075
Puerto Rico,≤100
Rhode Island,1873
South Carolina,9908
South Dakota,3199
Tennessee,17702
Texas,76024
Unknown,≤100
Utah,5828
Vermont,1885
Virgin Islands (U.S.),≤100
Virginia,24067
Washington,16856
"Washington, District of Columbia",9056
West Virginia,4332
Wisconsin,76946
Wyoming,1272
