Location name,Amount spent (MYR)
Johor,777
Kedah,384
Kelantan,336
Kuala Lumpur,567
Labuan,≤100
Malacca,176
Negeri Sembilan,236
Pahang,456
Penang,303
Perak,362
Perlis,≤100
Putrajaya,≤100
Sabah,344
Sarawak,343
Selangor,1035
Terengganu,252
Unknown,≤100
