Location name,Amount spent (AUD)
Australian Capital Territory,830
Jervis Bay Territory,≤100
New South Wales,32686
Northern Territory,385
Queensland,8874
South Australia,3616
Tasmania,1282
Unknown,≤100
Victoria,10534
Western Australia,4001
