Location name,Amount spent (DKK)
Capital Region of Denmark,36896
Central Denmark Region,18372
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7546
Region of Southern Denmark,17379
Unknown,≤100
Zealand Region,9970
