Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,941
Bicol Region,3578
Cagayan Valley,3327
Calabarzon,19043
Caraga,1918
Central Luzon,9996
Central Visayas,7333
Cordillera Administrative Region,1407
Davao Region,3422
Eastern Visayas,3681
Ilocos Region,3646
Metro Manila,24818
Mimaropa,2722
Northern Mindanao,3174
Soccsksargen,2992
Unknown,≤100
Western Visayas,7270
Zamboanga Peninsula,4397
