Location name,Amount spent (COP)
Amazonas,2248
Antioquia,3632064
Arauca,13074
Atlantico,512132
Bolivar,208387
Boyaca,76554
Caldas,239935
Caqueta,30098
Casanare,29141
Cauca,199720
Cesar,94604
Choco,12153
Cordoba,81756
Cundinamarca,397016
Distrito Especial,5220992
Guainia,976
Guaviare,37458
Huila,113720
La Guajira,28126
Magdalena,137686
Meta,125360
Narino,102280
Norte de Santander,174028
Putumayo,54778
Quindio,139083
Risaralda,536361
San Andres y Providencia,3305
Santander,184520
Sucre,61316
Tolima,168379
Unknown,110
Valle del Cauca,3349765
Vaupes,733
Vichada,975
