Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
135843375926,UNICEF Norge,UNICEF Norge,15554,30
1514635018793437,Nordmørslista,Stig Anders Stensvik Ohrvik,3916,5
234659001772,Arbeiderpartiet,Arbeiderpartiet,2897,2
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,2069,36
1514635018793437,Nordmørslista,Nordmørslista,2035,9
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,1757,6
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,1602,3
20468812735,LO,LO,1373,14
246264862053914,Lørenskog Arbeiderparti,Lørenskog Arbeiderparti,1370,2
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,1224,1
54779960819,United Nations,United Nations with Facebook Ad Credits,1174,2
2398568533531114,Velferdsmiks,NHO Service og Handel,1032,12
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,980,33
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,842,3
108203984145752,Kruse Larsen,Kruse Larsen,806,2
305434298719,Norges Bondelag,Norges Bondelag,692,1
100682016119457,Universitetsplassen - UiO,Universitetet i Oslo,582,2
179839425383047,Yrkestrafikkforbundet - YTF,Yrkestrafikkforbundet,554,1
10254410675,Venstre,Venstre,519,8
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,415,9
94140749496,HL-senteret,HL-senteret,389,1
536745556722065,Lillestrøm FrP,Lillestrøm FrP,382,2
149452772322646,Snusinfo.no,Swedich Match Norge,347,3
284375224934900,ASKO - vi forsyner Norge med mat,Johanne Emilie Brodtkorb,326,8
119878348024795,ULOBA,Uloba - Independent Living Norge SA,301,26
728518604216173,HELT MED,Stiftelsen HELT MED,288,1
102560641840786,Preventio,Preventio,259,1
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,235,2
1281475135310961,Sissel Knutsen Hegdal - ordførerkandidat Høyre,Sissel Knutsen Hegdal,204,1
371106536283235,DAG OG TID,Dag og Tid AS,198,1
103057921635136,Folkets Parti Bergen,Foreningen FNB Bergen,178,2
111345183340,Fagforbundet,Fagforbundet,175,1
173739506066242,LO Internasjonalt,LO,143,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,143,3
111036919049229,Offshore Norge,Offshore Norge,140,1
21967399403,Cappelen Damm,Cappelen Damm,137,3
239677012734267,Fredrikstad Høyre,Fredrikstad Høyre,135,1
300127442096,Norske Kvinners Sanitetsforening,Norske Kvinners Sanitetsforening,133,1
106000182295870,Bybanetunnel,Bybanetunnel,131,1
106716332332281,Njål Vigleik Grene-Johnsen,Njål Vigleik Grene-Johnsen,125,2
65439442167,SAIH,Studentenes og akademikernes internasjonale hjelpefond,119,1
111322125898812,Filter Nyheter,Filter Nyheter,104,2
237560553353971,Ordførar i Time - Andreas Vollsund,Andreas Vollsund,102,1
647021275725216,Nancy Hansson Gogstad,Lørenskog Sosialistisk Venstreparti,101,1
171368929594037,Vestland Høgre,Vestland Høgre,≤100,1
102203325950193,Ingvild Lemme Kristiansen,Stendi,≤100,3
87445018334,Nobel Peace Center,Nobel Peace Center,≤100,2
126448980866214,Klassekampen,Klassekampen AS,≤100,1
105341850825925,Stian Storbukås,Stian Storbukås,≤100,1
46448594983,Næringsforeningen i Stavanger-regionen,Næringsforeningen i Stavanger-regionen,≤100,2
105939782037295,Altinget.no,Altinget AS,≤100,2
764891286856218,Porsgrunn Arbeiderparti,Stig Kolbjørnsen,≤100,1
329804540373370,Vestfold og Telemark fylkeskommune,Vestfold og Telemark fylkeskommune,≤100,1
305979200266128,Silja Ekeland Bjørkly,Vestland Høgre,≤100,1
100231879042950,Fylkesordførerkandidat Niklas Eriksen - FrP,Niklas Eriksen,≤100,1
