Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
108922248816222,Secretaría de Participación Ciudadana,Secretaría de Participación Ciudadana,4009483,82
105560941738247,Movilizando Chilenos,Movilizando Chilenos,476107,47
104241664294127,Los Poderosos de Siempre,Los Poderosos de Siempre,430903,10
231350380299380,Las Últimas Noticias (LUN),Las Últimas Noticias (LUN),396529,8
101022471358725,El orgullo de ser chileno,El orgullo de ser chileno,295467,10
102660885525434,Con mi plata NO,Con mi plata No,238062,55
103527991214141,Cero DICOM,Cero Dicom,204721,8
101721718076297,Por un Chile Despierto,Por un Chile Despierto,199607,10
228557190541436,BancoEstado,BancoEstado,185554,7
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,164139,4
103822445860239,Conexión Energía,Feedback Comunicaciones,154945,11
105216321995280,Pivotes_cl,Fundación Pivotes,146699,5
106057278350931,TelcoNews,TelcoNews,123380,10
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,105768,14
1548643738480723,Asistencia Deudores,Asistencia Deudores,101655,2
172277313691851,Chile Liberal,Chile Liberal,96196,3
105798328215264,Asistencia Familia,Asistencia Familia,92929,6
56243398247,Parque Arauco,Parque Arauco,68139,1
113924653318737,ICF,ICF,56114,13
184559421980613,Vlado Mirosevic,Vlado Mirosevic,56114,1
1157078510981546,Corporación Municipal Gabriel González Videla,Corporación Municipal Gabriel González Videla,48882,3
113838817025219,Coperiodistas,Coperiodistas,44892,7
386634201382499,Marco Enriquez-Ominami,Marco Enríquez-Ominami,40421,2
103952288758680,Por nuestro Chile,ONG FIMA,39883,3
110835964029132,Var Constitucional,Var Constitucional,39341,10
756450494522524,Andrés Jouannet Diputado,Andrés Jouannet,36691,3
103030962615298,Chile YAAC,Chile YAAC,36135,5
154785904692548,SalmonChile,SalmonChile,29661,6
558224964238853,Anglo American,Anglo American,24162,1
1661207433889496,Dr Salvador Urrutia y Constitución,Dr Salvador Urrutia y Constitución,24153,3
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,24069,1
26929188652,El Observatodo,MiVoz.cl,23843,45
112414063439760,DeliBest Chile,Brecha Digital Consultores,23407,6
181189911970230,Alberto Undurraga V,Alberto Undurraga V,18467,1
256214294989170,DaleProfe,daleProfe,17934,4
580663538777736,Consejo Minero,Feedback Comunicaciones,17001,1
104224427947088,Circula el Plástico,Metrix,16033,3
100714821561761,Tenemos que Hablar de Chile,Tenemos que Hablar de Chile,14915,3
254968451965503,Juan Valdes,Juan Valdes,14468,9
1447342118848920,Universidad Adolfo Ibañez,Universidad Adolfo Ibáñez,11223,3
106659674143646,UDLA Derecho Chile,UDLA Derecho Chile,11182,3
386423238164424,Enel Chile,Enel Chile,11129,1
