Location name,Amount spent (EGP)
Al Sharqia Governorate,2411
Alexandria Governorate,3277
Aswan Governorate,472
Asyut Governorate,1049
Beheira Governorate,1474
Beni Suef Governorate,734
Cairo Governorate,7666
Dakahlia Governorate,2819
Damietta Governorate,735
Faiyum Governorate,865
Gharbia Governorate,2454
Giza Governorate,2140
Ismailia Governorate,600
Kafr el-Sheikh Governorate,1162
Luxor Governorate,742
Matrouh Governorate,140
Minya Governorate,1093
Monufia Governorate,1480
New Valley Governorate,734
North Sinai Governorate,224
Port Said Governorate,500
Qalyubia Governorate,1827
Qena Governorate,879
Red Sea Governorate,284
Sohag Governorate,1132
South Sinai Governorate,106
Suez Governorate,372
Unknown,≤100
