Location name,Amount spent (PKR)
Azad Kashmir,1033
Balochistan,944
Federally Administered Tribal Areas,176
Gilgit-Baltistan,492
Islamabad Capital Territory,1083
Khyber Pakhtunkhwa,4876
Punjab,15835
Sindh,8656
Unknown,≤100
