Location name,Amount spent (IDR)
Aceh,602991
Bali,1623116
Bangka–Belitung Islands,361776
Banten,2417305
Bengkulu,527885
Central Java,7108956
Central Kalimantan,522771
Central Sulawesi,694764
East Java,6397889
East Kalimantan,1533475
East Nusa Tenggara,1124300
Gorontalo,431461
Jakarta,4581806
Jambi,683609
Lampung,1326769
Maluku,490041
North Kalimantan,240512
North Maluku,544159
North Sulawesi,1768119
North Sumatra,3756728
Papua (province),716270
Riau,1744869
Riau Islands Province,670553
South Kalimantan,830879
South Sulawesi,2337405
South Sumatra,1974448
Southeast Sulawesi,532386
Special Region of Yogyakarta,1438797
Unknown,955
West Java,8154119
West Kalimantan,1018758
West Nusa Tenggara,1117576
West Papua,383067
West Sulawesi,322759
West Sumatra,891791
