Location name,Amount spent (AUD)
Australian Capital Territory,1244
Jervis Bay Territory,≤100
New South Wales,19997
Northern Territory,568
Queensland,13032
South Australia,4361
Tasmania,1234
Unknown,≤100
Victoria,14902
Western Australia,6292
