Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,19503,157
196258110831945,Partido Valor,Partido Valor,10235,50
161800283848513,CREO,CREO,6950,14
102762215788405,VOS.gt,VOS.gt,4209,10
187073013532,Partido VIVA,Partido Político VIsión con Valores VIVA.,3464,17
331961940541181,Partido Victoria,Partido Político Victoria,3312,3
114227945284581,De Frente Por Guate,The Advertising Strategists,2289,10
110226594945647,Partido BIEN,Partido BIEN,1961,21
109897588772482,,Digitalishere.com,1810,9
1882597935332956,Partido VAMOS,Partido VAMOS,1716,9
100169482992019,Sebastián Arzú,Sebastián Arzú,1240,2
274120089379114,Edmond Mulet,Edmond Mulet,1211,11
1911003529195315,Roberto Arzú,Roberto Arzú,550,4
105946259158286,Arias Consultores Guatemala,Arias Consultores,392,71
108748214736261,Partido Republicano -PR-,Partido Republicano -PR-,392,4
109158432159305,La Hora de la Noticia,These ads ran without a disclaimer,390,1
96594798704,Movimiento Cívico Nacional - MCN,Movimiento Cívico Nacional,355,2
104363285138486,Nosotros Guatemala,Partido Político Nosotros,322,8
115866788164577,podemos Wiliam NOE Rivera,Bienpilas.com,275,5
103769008029892,Noticias San Marcos,Noticias San Marcos,271,1
101372268406640,Unión Republicana,Unión Republicana,254,5
1612828795636861,Movimiento Semilla,Movimiento Semilla,203,1
103639884893606,PIN,PARTIDO DE INTEGRACIÓN NACIONAL PIN,201,1
142373979127061,Partido Unionista,Partido Unionista,187,8
103979662614836,Lewis Logan-Podemos Escuintla,Lewis Logan-Podemos Escuintla,181,16
142556265766634,Guatemala Visible,Guatemala Visible,172,3
110582257361172,Partido Azul,Partido Azul,135,6
1466927680295354,Otrans Guatemala,Otrans Guatemala,128,5
106414945477006,TODOS Nueva Concepción,TODOS Nueva Concepción,112,2
101384729602875,Vamos Salcajá,Vamos Salcajá,≤100,6
103115816090247,Suseth Mérida,Suseth Mérida,≤100,2
102267512735628,Nosotros Petén,Nosotros Petén,≤100,7
107186558438030,GT Noticias Guate,GT Noticias Guate,≤100,1
111055994050917,E-data,E-data,≤100,1
102894939469958,Diputado Chiquimula VIVA,Efectiva Hosting,≤100,5
105932339114662,Pedro René Escobar,Pedro Si Vá,≤100,1
101834689161496,Partido VALOR Chichicastenango,Partido VALOR Chichicastenango,≤100,3
116255971414800,Política Migración,Política Migración,≤100,1
303127683559449,Victor Duarte,Victor Duarte Alcalde,≤100,2
101559144921198,Noticias San Pedro Sacatepéquez,Noticias San Pedro Sacatepéquez,≤100,1
113365157671290,Unionista Depto. Chimaltenango,Unionista Depto. Chimaltenango,≤100,1
2363255300363966,Informativo Guate,Informativo Guate,≤100,1
391831020911364,Luis Carlos Rivero - Fondista -,Luis Carlos Rivero - Fondista -,≤100,2
1212640285520369,Asociación Política Caminemos,Asociación Política Caminemos,≤100,1
341441999835173,La Plaza 2015,La Plaza 2015,≤100,1
1710300235853890,Noticiero El Vigilante,Noticiero El Vigilante,≤100,1
281554395331686,República,"Republica GT, S.A.",≤100,7
100228912981471,PAN - Partido de Avanzada Nacional,PAN - Partido de Avanzada Nacional,≤100,3
107787351984606,UNE Quetzaltenango,UNE QUETZALTENANGO,≤100,1
111083754946084,Partido Humanista San Marcos -PHG-,Partido Humanista San Marcos -PHG-,≤100,1
333731437290922,La Critica Gt,La Critica Gt,≤100,1
116218431429905,Octavio Artemio de León Delgado,Octavio Artemio de León Delgado,≤100,1
110004498734711,Erick Arana - BIEN,Erick Yovani Arana Zuñiga,≤100,3
104802371498661,Armando Paniagua,Armando Paniagua,≤100,1
114431391609852,,Partido Político Nosotros El Palmar,≤100,1
100815848732017,,Partido BIEN Totonicapán,≤100,1
394332174259721,,Fotos Y Vídeos Menchú,≤100,1
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,1
