Location name,Amount spent (COP)
Amazonas,1057
Antioquia,3408681
Arauca,12202
Atlantico,442660
Bolivar,198368
Boyaca,58316
Caldas,180282
Caqueta,32247
Casanare,74044
Cauca,226486
Cesar,104474
Choco,13228
Cordoba,81454
Cundinamarca,343656
Distrito Especial,1710921
Guainia,543
Guaviare,3212
Huila,130753
La Guajira,43452
Magdalena,144800
Meta,243690
Narino,66550
Norte de Santander,504904
Putumayo,12512
Quindio,126787
Risaralda,735905
San Andres y Providencia,3457
Santander,242472
Sucre,49762
Tolima,303983
Unknown,199
Valle del Cauca,1752010
Vaupes,318
Vichada,636
