Location name,Amount spent (PYG)
Alto Paraguay Department,22876
Alto Paraná Department,432735
Amambay Department,55485
Asunción,350588
Boquerón department,127766
Caaguazú Department,182800
Caazapá Department,129938
Canindeyú Department,58892
Central Department,1410567
Concepción Department (Paraguay),73691
Cordillera Department,127576
Guairá Department,56498
Itapúa Department,169070
Misiones Department,58950
Paraguarí Department,60641
Presidente Hayes Department,33733
San Pedro Department,129373
Unknown,338
Ñeembucú Department,73044
