Location name,Amount spent (USD)
Alabama,8191
Alaska,4748
American Samoa,≤100
Arizona,21119
Arkansas,5345
California,110934
Colorado,16537
Connecticut,9235
Delaware,2256
Florida,50225
Georgia,22475
Guam,≤100
Hawaii,3451
Idaho,4770
Illinois,32311
Indiana,16634
Iowa,7916
Kansas,6721
Kentucky,8324
Louisiana,8206
Maine,4088
Maryland,18685
Massachusetts,20346
Michigan,24880
Minnesota,12012
Mississippi,4757
Missouri,15287
Montana,2382
Nebraska,3387
Nevada,5653
New Hampshire,3733
New Jersey,20379
New Mexico,6216
New York,52132
North Carolina,25692
North Dakota,1356
Ohio,26195
Oklahoma,9373
Oregon,17597
Pennsylvania,30252
Puerto Rico,≤100
Rhode Island,2511
South Carolina,9450
South Dakota,1491
Tennessee,15517
Texas,68203
Unknown,≤100
Utah,8046
Vermont,2407
Virgin Islands (U.S.),≤100
Virginia,25168
Washington,20732
"Washington, District of Columbia",9265
West Virginia,4441
Wisconsin,17317
Wyoming,1204
