Location name,Amount spent (INR)
Andaman and Nicobar Islands,240
Andhra Pradesh,79418
Arunachal Pradesh,1474
Assam,12850
Bihar,34663
Chandigarh,3078
Chhattisgarh,24554
Dadra and Nagar Haveli,1235
Delhi,54893
Goa,2398
Gujarat,51290
Haryana,35563
Himachal Pradesh,17614
Jammu and Kashmir,13040
Jharkhand,14248
Karnataka,1004033
Kerala,15229
Lakshadweep,≤100
Madhya Pradesh,74048
Maharashtra,142587
Manipur,1537
Meghalaya,2917
Mizoram,2178
Nagaland,1208
Odisha,18969
Puducherry,2534
Punjab region,135465
Rajasthan,166128
Sikkim,521
Tamil Nadu,76785
Telangana,42409
Tripura,2031
Unknown,236
Uttar Pradesh,274606
Uttarakhand,12905
West Bengal,55093
