Location name,Amount spent (EGP)
Al Sharqia Governorate,3213
Alexandria Governorate,939
Aswan Governorate,164
Asyut Governorate,361
Beheira Governorate,664
Beni Suef Governorate,230
Cairo Governorate,2291
Dakahlia Governorate,1208
Damietta Governorate,363
Faiyum Governorate,224
Gharbia Governorate,920
Giza Governorate,855
Ismailia Governorate,522
Kafr el-Sheikh Governorate,591
Luxor Governorate,111
Matrouh Governorate,≤100
Minya Governorate,403
Monufia Governorate,568
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,381
Qalyubia Governorate,2345
Qena Governorate,288
Red Sea Governorate,≤100
Sohag Governorate,428
South Sinai Governorate,≤100
Suez Governorate,126
Unknown,≤100
