Location name,Amount spent (THB)
Amnat Charoen,128
Ang Thong,106
Ayutthaya,914
Bangkok,36205
Bueng Kan,241
Buriram,396
Chachoengsao,306
Chai Nat,≤100
Chaiyaphum,854
Chanthaburi,923
Chiang Mai,2199
Chiang Rai,752
Chon Buri,2192
Chumphon,1199
Kalasin,265
Kamphaeng Phet,193
Kanchanaburi,348
Khon Kaen,2673
Krabi,353
Lampang,257
Lamphun,131
Loei,191
Lop Buri,184
Mae Hong Son,272
Maha Sarakham,354
Mukdahan,335
Nakhon Nayok,≤100
Nakhon Pathom,1227
Nakhon Phanom,4280
Nakhon Ratchasima,1733
Nakhon Sawan,1610
Nakhon Si Thammarat,2972
Nan,108
Narathiwat,206
Nong Bua Lam Phu,288
Nong Khai,174
Nonthaburi,1252
Pathum Thani,1670
Pattani,1239
Phangnga,207
Phatthalung,1386
Phayao,680
Phetchabun,208
Phetchaburi,730
Phichit,339
Phitsanulok,1709
Phrae,124
Phuket,2088
Prachin Buri,200
Prachuap Khiri Khan,390
Ranong,267
Ratchaburi,435
Rayong,447
Roi Et,340
Sa Kaeo,156
Sakon Nakhon,1719
Samut Prakan,2167
Samut Sakhon,2664
Samut Songkhram,2084
Saraburi,311
Satun,216
Sing Buri,≤100
Sisaket,540
Songkhla,5095
Sukhothai,187
Suphan Buri,330
Surat Thani,3076
Surin,382
Tak,173
Trang,742
Trat,882
Ubon Ratchathani,811
Udon Thani,436
Unknown,≤100
Uthai Thani,≤100
Uttaradit,137
Yala Province,655
Yasothon,469
