Location name,Amount spent (JPY)
Aichi Prefecture,55623
Akita Prefecture,1046
Aomori Prefecture,1298
Chiba Prefecture,19027
Ehime Prefecture,1640
Fukui Prefecture,2402
Fukuoka Prefecture,40336
Fukushima Prefecture,2376
Gifu Prefecture,5473
Gunma Prefecture,4752
Hiroshima Prefecture,4454
Hokkaido,7301
Hyōgo Prefecture,16024
Ibaraki Prefecture,6850
Ishikawa Prefecture,3351
Iwate Prefecture,1642
Kagawa Prefecture,1850
Kagoshima Prefecture,3492
Kanagawa Prefecture,33928
Kumamoto Prefecture,3227
Kyoto Prefecture,9505
Kōchi Prefecture,828
Mie Prefecture,5083
Miyagi Prefecture,9447
Miyazaki Prefecture,2214
Nagano Prefecture,3647
Nagasaki Prefecture,5735
Nara Prefecture,3707
Niigata Prefecture,5422
Okayama Prefecture,3730
Okinawa Prefecture,5908
Osaka Prefecture,86578
Saga Prefecture,3609
Saitama Prefecture,20176
Shiga Prefecture,4039
Shimane Prefecture,1079
Shizuoka Prefecture,10498
Tochigi Prefecture,4708
Tokushima Prefecture,1044
Tokyo,70944
Tottori Prefecture,870
Toyama Prefecture,2810
Unknown,≤100
Wakayama Prefecture,2205
Yamagata Prefecture,3207
Yamaguchi Prefecture,2440
Yamanashi Prefecture,1354
Ōita Prefecture,2297
