Location name,Amount spent (USD)
Alabama,7578
Alaska,4475
American Samoa,≤100
Arizona,21519
Arkansas,5133
California,76997
Colorado,13515
Connecticut,7656
Delaware,1969
Florida,51893
Georgia,21065
Guam,318
Hawaii,3290
Idaho,4694
Illinois,30220
Indiana,14942
Iowa,6257
Kansas,6331
Kentucky,7829
Louisiana,10580
Maine,3634
Maryland,16051
Massachusetts,17504
Michigan,24232
Minnesota,10965
Mississippi,4400
Missouri,14647
Montana,1979
Nebraska,2997
Nevada,6740
New Hampshire,3215
New Jersey,18137
New Mexico,5245
New York,46212
North Carolina,21918
North Dakota,1730
Northern Mariana Islands,≤100
Ohio,26293
Oklahoma,8992
Oregon,13922
Pennsylvania,26761
Puerto Rico,≤100
Rhode Island,2014
South Carolina,8109
South Dakota,1532
Tennessee,15021
Texas,67560
Unknown,≤100
Utah,6372
Vermont,1961
Virgin Islands (U.S.),≤100
Virginia,21594
Washington,17682
"Washington, District of Columbia",9323
West Virginia,4545
Wisconsin,18203
Wyoming,1059
