Location name,Amount spent (GTQ)
Alta Verapaz Department,429
Baja Verapaz Department,≤100
Chimaltenango Department,264
Chiquimula Department,226
El Progreso Department,≤100
Escuintla Department,524
Guatemala Department,5913
Huehuetenango Department,374
Izabal Department,323
Jalapa Department,130
Jutiapa Department,185
Petén Department,216
Quetzaltenango Department,532
Quiché Department,253
Retalhuleu Department,156
Sacatepéquez Department,278
San Marcos Department,1067
Santa Rosa Department,150
Sololá Department,145
Suchitepéquez Department,231
Totonicapán Department,129
Unknown,≤100
Zacapa Department,145
