Location name,Amount spent (LBP)
Beirut Governorate,2749390
Beqaa Governorate,1002605
Mount Lebanon Governorate,1678293
Nabatieh Governorate,397335
North Governorate,1632794
South Governorate,716754
Unknown,1343
