Location name,Amount spent (USD)
Al Anbar Governorate,105
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,444
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,109
Dohuk Governorate,167
Erbil Governorate,433
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,135
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,194
Saladin Governorate,≤100
Sulaymaniyah Governorate,392
Unknown,≤100
Wasit Governorate,≤100
