Location name,Amount spent (ZAR)
Eastern Cape,616
Free State,538
Gauteng,5052
KwaZulu-Natal,1287
Limpopo,290
Mpumalanga,356
North West,276
Northern Cape,134
Unknown,≤100
Western Cape,10291
