Location name,Amount spent (CLP)
Antofagasta Region,113773
Araucanía Region,162352
Arica y Parinacota Region,224777
Atacama Region,45670
Aysén Region,199284
Bío Bío Region,359170
Coquimbo Region,179032
Los Lagos Region,162132
Los Ríos Region,66681
Magallanes y la Antártica Chilena Region,43879
Maule Region,152461
O'Higgins Region,135596
Santiago Metropolitan Region,2144906
Tarapacá Region,53758
Unknown,1305
Valparaíso Region,353577
