Location name,Amount spent (VND)
An Giang Province,144784
Bà Rịa–Vũng Tàu Province,181096
Bình Dương Province,279958
Bình Phước Province,92046
Bình Thuận Province,114594
Bình Định Province,146999
Bạc Liêu Province,66525
Bắc Giang Province,407579
Bắc Kạn Province,81810
Bắc Ninh Province,292585
Bến Tre Province,63649
Cao Bằng Province,114828
Cà Mau Province,183759
Cần Thơ,106170
Da Nang,213662
Gia Lai Province,135222
Haiphong,347805
Ho Chi Minh City,1995024
Hà Giang Province,166270
Hà Nam Province,206888
Hà Tĩnh Province,305870
Hòa Bình Province,182364
Hưng Yên Province,164238
Hải Dương Province,333982
Hậu Giang Province,36505
Khánh Hòa Province,155266
Kiên Giang Province,103728
Kon Tum Province,39758
Lai Châu Province,62879
Long An Province,84857
Lào Cai Province,209460
Lâm Đồng Province,152987
Lạng Sơn Province,134234
Nam Định Province,320460
Nghệ An Province,703123
Ninh Bình Province,176496
Ninh Thuận Province,47135
Phú Thọ Province,340123
Phú Yên Province,86038
Quảng Bình Province,170021
Quảng Nam Province,176044
Quảng Ngãi Province,313748
Quảng Ninh Province,187916
Quảng Trị Province,115976
Sóc Trăng Province,63215
Sơn La Province,210877
Thanh Hóa Province,846439
Thái Bình Province,335913
Thái Nguyên Province,292500
Thừa Thiên–Huế Province,138281
Tiền Giang Province,87684
Trà Vinh Province,44608
Tuyên Quang Province,188429
Tây Ninh Province,132688
Unknown,2641
Vĩnh Long Province,54819
Vĩnh Phúc Province,192512
Yên Bái Province,251626
Điện Biên Province,130398
Đắk Lắk Province,239701
Đắk Nông Province,86960
Đồng Nai Province,292356
Đồng Tháp Province,111609
