Location name,Amount spent (CAD)
Alberta,42905
British Columbia,9573
Manitoba,4350
New Brunswick,867
Newfoundland and Labrador,939
Northwest Territories,≤100
Nova Scotia,1441
Nunavut,≤100
Ontario,24472
Prince Edward Island,305
Quebec,13156
Saskatchewan,3014
Unknown,≤100
Yukon,≤100
