Location name,Amount spent (USD)
Chaouia-Ouardigha,≤100
Doukkala-Abda,≤100
Fès-Boulemane,≤100
Gharb-Chrarda-Béni Hssen,≤100
Grand Casablanca,275
Guelmim-Es Semara,≤100
Laâyoune-Boujdour-Sakia El Hamra,≤100
Marrakesh-Tensift-El Haouz,≤100
Meknès-Tafilalet,≤100
Oriental,≤100
Oued Ed-Dahab-Lagouira,≤100
Rabat-Salé-Zemmour-Zaer,178
Souss-Massa-Drâa,≤100
Tadla-Azilal,≤100
Tangier-Tetouan,≤100
Taza-Al Hoceima-Taounate,≤100
Unknown,≤100
